;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;
100;QT_CONC_35_39;Quantidade de concluintes - De 35 a 39 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
101;QT_CONC_40_49;Quantidade de concluintes - De 40 a 49 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
102;QT_CONC_50_59;Quantidade de concluintes - De 50 a 59 anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
103;QT_CONC_60_MAIS;Quantidade de concluintes - De 60 ou mais anos de idade;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
104;QT_CONC_BRANCA;Quantidade de concluintes - Cor/Raça Branca;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
105;QT_CONC_PRETA;Quantidade de concluintes - Cor/Raça Preta;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
106;QT_CONC_PARDA;Quantidade de concluintes - Cor/Raça Parda;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
107;QT_CONC_AMARELA;Quantidade de concluintes - Cor/Raça Amarela;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
108;QT_CONC_INDIGENA;Quantidade de concluintes - Cor/Raça Indígena;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
109;QT_CONC_CORND;Quantidade de concluintes - Cor/Raça Não Declarada;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
110;QT_ING_NACBRAS;Quantidade de ingressantes nos cursos - nacionalidade brasileira ou brasileira - nascido no exterior ou naturalizado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
111;QT_ING_NACESTRANG;Quantidade de ingressantes nos cursos - nacionalidade estrangeira;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
112;QT_MAT_NACBRAS;Quantidade de matrículas - nacionalidade brasileira ou brasileira - nascido no exterior ou naturalizado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
113;QT_MAT_NACESTRANG;Quantidade de matrículas - nacionalidade estrangeira;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
114;QT_CONC_NACBRAS;Quantidade de concluintes - nacionalidade brasileira ou brasileira - nascido no exterior ou naturalizado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
115;QT_CONC_NACESTRANG;Quantidade de concluintes - nacionalidade estrangeira;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
116;QT_ALUNO_DEFICIENTE;Quantidade de alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
117;QT_ING_DEFICIENTE;Quantidade de ingressantes nos cursos - alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
118;QT_MAT_DEFICIENTE;Quantidade de matrículas - alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
119;QT_CONC_DEFICIENTE;Quantidade de concluintes - alunos com deficiência, transtorno global do desenvolvimento ou altas habilidades/superdotação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
120;QT_ING_FINANC;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil ;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
121;QT_ING_FINANC_REEMB;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
122;QT_ING_FIES;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil reembolsável  - FIES;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
123;QT_ING_RPFIES;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil reembolsável - administrado pela instituição;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
124;QT_ING_FINANC_REEMB_OUTROS;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil reembolsável - pelo governo estadual, municipal, entidades externas à IES e outras entidades;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
125;QT_ING_FINANC_NREEMB;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil não reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
126;QT_ING_PROUNII;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Integral;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
127;QT_ING_PROUNIP;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Parcial;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
128;QT_ING_NRPFIES;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil não reembolsável - administrado pela instituição;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
129;QT_ING_FINANC_NREEMB_OUTROS;Quantidade de ingressantes nos cursos - alunos que utilizam financiamento estudantil não reembolsável - pelo governo estadual, municipal, entidades externas à IES e outras entidades;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
130;QT_MAT_FINANC;Quantidade de matrículas - alunos que utilizam financiamento estudantil ;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
131;QT_MAT_FINANC_REEMB;Quantidade de matrículas - alunos que utilizam financiamento estudantil  reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
132;QT_MAT_FIES;Quantidade de matrículas - alunos que utilizam financiamento estudantil reembolsável  - FIES;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
133;QT_MAT_RPFIES;Quantidade de matrículas - alunos que utilizam financiamento estudantil reembolsável - administrado pela instituição;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
134;QT_MAT_FINANC_REEMB_OUTROS;Quantidade de matrículas - alunos que utilizam financiamento estudantil reembolsável - pelo governo estadual, municipal, entidades externas à IES e outras entidades;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
135;QT_MAT_FINANC_NREEMB;Quantidade de matrículas - alunos que utilizam financiamento estudantil não reembolsável;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
136;QT_MAT_PROUNII;Quantidade de matrículas - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Integral;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
137;QT_MAT_PROUNIP;Quantidade de matrículas - alunos que utilizam financiamento estudantil não reembolsável  - PROUNI Parcial;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;
